codigo,nome,populacao,idhm,rdpc,seca,enchente,calor,ameaca,capacidade,peso,cluster,arquetipo,ameaca_futura,tendencia
2913606,Ilhéus,157639,0.69,579.46,0.2774063147605301,0.7166305713760197,0.9631748938999773,0.4362564141164322,0.69,0.0014259708423049321,3,Enchente / chuva extrema (baixa),0.4876541210095241,Agravando
2913705,Inhambupe,40720,0.565,254.99,0.4424713304380671,0.344880273746734,0.35392768266308594,0.5357412414883505,0.565,0.0021385752811988136,0,Seca (sertao) (baixa),0.3894247593409944,Estavel
2913804,Ipecaetá,14229,0.55,186.54,0.4689438208397875,0.1048537051254551,0.42671794269399704,0.7484977146019274,0.55,0.0030693449523216437,0,Seca (sertao) (baixa),0.5227735243054296,Estavel
2913903,Ipiaú,45969,0.67,573.36,0.44307270717095004,0.13917227736148927,0.1276207303251991,0.5801318528104673,0.67,0.001952854197949378,3,Enchente / chuva extrema (baixa),0.5278768248100082,Estavel
2914000,Ipirá,59281,0.549,274.88,0.6398564549996931,0.16531176857829055,0.5720158333675797,0.8789289212168218,0.549,0.003610765810068061,2,Seca (sertao) (moderada),0.7804740371402583,Estavel
2914109,Ipupiara,9954,0.59,258.3,0.7975575008849477,0.3758409509493812,0.651646264879188,0.8698373061827563,0.59,0.0033250940146884542,2,Seca (sertao) (moderada),0.8719446154983528,Estavel
2914208,Irajuba,7295,0.576,236.16,0.40221253466587287,0.20208747287417514,0.41548873230061906,0.6342299238137306,0.576,0.002483374149885632,0,Seca (sertao) (baixa),0.5982461896093149,Estavel
2914307,Iramaia,7874,0.571,234.91,0.47644007225571267,0.27336440133659956,0.530223606678809,0.6821477372036266,0.571,0.0026943886810015115,0,Seca (sertao) (baixa),0.6786928926789595,Estavel
2914406,Iraquara,25728,0.599,242.58,0.40333568691764043,0.6007120699659477,0.19401634197728884,0.2666728184936689,0.599,0.0010040835208409166,1,Enchente / chuva extrema (moderada),0.07632638570674125,Estavel
2914505,Irará,29305,0.62,308.34,0.4943948112573706,0.14584048850912554,0.4413153941317368,0.7429728003829852,0.62,0.0027027080561247883,0,Seca (sertao) (baixa),0.5543795692549314,Estavel
2914604,Irecê,74050,0.691,488.15,0.9342800728124201,0.27369880507746536,0.5418141848118617,0.9804369307589419,0.691,0.003200070344365301,2,Seca (sertao) (moderada),0.9468883988738931,Estavel
2914653,Itabela,30901,0.599,365.39,0.1477406693159074,0.6688297963230425,0.3867721966010705,0.13874188908190999,0.599,0.0005223946154856852,1,Enchente / chuva extrema (moderada),0.43874188908191,Agravando
2914703,Itaberaba,64795,0.62,422.79,0.8684512639659223,0.12617188043364239,0.7189925018421319,1.0,0.62,0.0036376944818593705,2,Seca (sertao) (moderada),1.0,Estavel
2914802,Itabuna,214123,0.712,605.12,0.25870177705167197,0.6980534060455734,0.8300978768989741,0.3799397780010664,0.712,0.0012035182542155607,3,Enchente / chuva extrema (baixa),0.476342544661449,Agravando
2914901,Itacaré,29051,0.583,323.3,0.23856032891871023,0.6909563950090826,0.6371850615319388,0.28917395020484327,0.583,0.00111868682578685,1,Enchente / chuva extrema (moderada),0.32755168796017725,Estavel
2915007,Itaeté,16164,0.572,224.79,0.4772079568477627,0.3513556300576791,0.3958196174609725,0.5715357953322014,0.572,0.0022535402403782074,0,Seca (sertao) (baixa),0.5111069426334077,Estavel
2915106,Itagi,12140,0.543,234.8,0.4143631345416645,0.20820668160198763,0.25737456127849745,0.5700279816378113,0.543,0.002367632299911172,0,Seca (sertao) (baixa),0.5427949148925432,Estavel
2915205,Itagibá,14331,0.589,270.27,0.44339152246955743,0.1478554369497343,0.15080720873606937,0.5843247262282264,0.589,0.002237468244436217,0,Seca (sertao) (baixa),0.532252783755266,Estavel
2915304,Itagimirim,6784,0.634,339.65,0.28526729653552213,0.5781804628893822,0.35832027853464815,0.27687161469167226,0.634,0.0009849339019990249,3,Enchente / chuva extrema (baixa),0.5768716146916723,Agravando
2915353,Itaguaçu da Bahia,14650,0.562,245.68,0.9694714704106059,0.27925950931896226,0.6080444706746118,1.0,0.562,0.004013114908812828,2,Seca (sertao) (moderada),0.9225558134538473,Estavel
2915403,Itaju do Colônia,6515,0.592,276.93,0.3615921717721236,0.5539129920046117,0.5487067877513074,0.4240815362025464,0.592,0.0016156436144316175,1,Enchente / chuva extrema (moderada),0.5034356779381332,Estavel
2915502,Itajuípe,20309,0.599,354.2,0.2853300519453021,0.6444354395844145,0.7673021668053798,0.4068496375693678,0.599,0.0015318809725378899,1,Enchente / chuva extrema (moderada),0.4596850561875799,Estavel
2915601,Itamaraju,64423,0.627,432.95,0.14308991719911365,0.6267965387189645,0.49367849579942125,0.21041945925573213,0.627,0.000756896104629113,1,Enchente / chuva extrema (moderada),0.5104194592557321,Agravando
2915700,Itamari,7971,0.578,325.0,0.32921059880996406,0.34431889703846136,0.23375466752594598,0.41197963769272694,0.578,0.0016075549375387862,0,Seca (sertao) (baixa),0.35753798505678247,Estavel
2915809,Itambé,22474,0.578,312.32,0.5144097653756907,0.43484936680618824,0.48217634079261434,0.5751697538282534,0.578,0.0022443268868040465,0,Seca (sertao) (baixa),0.413357887852311,Estavel
2915908,Itanagra,6433,0.584,289.16,0.247025180035727,0.7192328106806313,0.1385577194089637,0.06141033914871542,0.584,0.00023716279477267916,1,Enchente / chuva extrema (moderada),0.0,Estavel
2916005,Itanhém,19231,0.637,388.04,0.27267495863031904,0.6372291936164318,0.365240155769182,0.2312788120741733,0.637,0.0008188688041459821,3,Enchente / chuva extrema (baixa),0.5312788120741733,Agravando
2916104,Itaparica,22440,0.67,476.99,0.07502073100542402,0.8316180706825415,0.07453326531073018,0.02,0.67,6.732449488814356e-05,3,Enchente / chuva extrema (baixa),0.0,Estavel
2916203,Itapé,8300,0.599,285.13,0.2572173029414975,0.6604753148370675,0.6724901642737031,0.3371733984766584,0.599,0.0012695341617067657,1,Enchente / chuva extrema (moderada),0.45916454615587626,Estavel
2916302,Itapebi,10173,0.572,273.69,0.3157831848837291,0.5559182862186922,0.3751770450194218,0.31892895205554234,0.572,0.0012575226838785587,1,Enchente / chuva extrema (moderada),0.6189289520555423,Agravando
2916401,Itapetinga,77408,0.667,506.76,0.49480505268900343,0.487317668937043,0.4717622363711587,0.5221601749755782,0.667,0.0017656142369360391,3,Enchente / chuva extrema (baixa),0.33520464762713,Estavel
2916500,Itapicuru,36173,0.486,185.7,0.5233473746788748,0.322103564928174,0.412253275013084,0.6282214444582136,0.486,0.00291537482051985,0,Seca (sertao) (baixa),0.49310915227873015,Estavel
2916609,Itapitanga,10284,0.571,225.1,0.3646867569715061,0.3813864229190366,0.3780379927635551,0.4711768992337588,0.571,0.0018610832152710977,0,Seca (sertao) (baixa),0.4657234789549606,Estavel
2916708,Itaquara,8375,0.553,229.04,0.3712049434169984,0.19205073747181906,0.41893229107518454,0.6227072427996585,0.553,0.0025396665363230236,0,Seca (sertao) (baixa),0.6060432256833153,Estavel
2916807,Itarantim,19937,0.61,352.74,0.41627350201286345,0.516987339626197,0.43704115006380295,0.4365783056209731,0.61,0.0016141735505234346,1,Enchente / chuva extrema (moderada),0.46284431980012825,Estavel
